source,appendix,lake,station,season,sample_date_1971,depth_m,characteristic,value_as_printed,unit_as_printed,value_as_P,below_detection,not_determined,raw_text
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,2,OCTOBER,,1,o-PO4,0.005,mg/L as PO4,0.00163,TRUE,FALSE,<0.005
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,2,OCTOBER,,1,t-PO4,0.06,mg/L as PO4,0.01957,FALSE,FALSE,0.06
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,2,OCTOBER,,1,SiO2,2.8,mg/L,,FALSE,FALSE,2.8
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,2,OCTOBER,,10,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,2,OCTOBER,,10,TKN,0.36,mg/L,,FALSE,FALSE,0.36
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,2,OCTOBER,,10,o-PO4,0.005,mg/L as PO4,0.00163,TRUE,FALSE,<0.005
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,2,OCTOBER,,10,t-PO4,0.05,mg/L as PO4,0.01631,FALSE,FALSE,0.05
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,2,OCTOBER,,10,SiO2,2.7,mg/L,,FALSE,FALSE,2.7
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,2,OCTOBER,,20,NO3,0.09,mg/L,,FALSE,FALSE,0.09
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,2,OCTOBER,,20,TKN,0.18,mg/L,,FALSE,FALSE,0.18
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,2,OCTOBER,,20,o-PO4,0.08,mg/L as PO4,0.02609,FALSE,FALSE,0.08
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,2,OCTOBER,,20,t-PO4,0.09,mg/L as PO4,0.02935,FALSE,FALSE,0.09
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,2,OCTOBER,,20,SiO2,2.0,mg/L,,FALSE,FALSE,2.0
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,2,OCTOBER,,30,NO3,0.09,mg/L,,FALSE,FALSE,0.09
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,2,OCTOBER,,30,TKN,0.16,mg/L,,FALSE,FALSE,0.16
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,2,OCTOBER,,30,o-PO4,0.1,mg/L as PO4,0.03262,FALSE,FALSE,0.10
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,2,OCTOBER,,30,t-PO4,0.11,mg/L as PO4,0.03588,FALSE,FALSE,0.11
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,2,OCTOBER,,30,SiO2,1.5,mg/L,,FALSE,FALSE,1.5
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,2,OCTOBER,,48,NO3,0.17,mg/L,,FALSE,FALSE,0.17
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,2,OCTOBER,,48,TKN,0.16,mg/L,,FALSE,FALSE,0.16
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,2,OCTOBER,,48,o-PO4,0.21,mg/L as PO4,0.06849,FALSE,FALSE,0.21
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,2,OCTOBER,,48,t-PO4,0.22,mg/L as PO4,0.07175,FALSE,FALSE,0.22
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,2,OCTOBER,,48,SiO2,2.1,mg/L,,FALSE,FALSE,2.1
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,APRIL,,1,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,APRIL,,1,TKN,0.38,mg/L,,FALSE,FALSE,0.38
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,APRIL,,1,o-PO4,0.01,mg/L as PO4,0.00326,FALSE,FALSE,0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,APRIL,,1,t-PO4,0.05,mg/L as PO4,0.01631,FALSE,FALSE,0.05
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,APRIL,,1,SiO2,0.3,mg/L,,FALSE,FALSE,0.3
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,APRIL,,5,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,APRIL,,5,TKN,0.02,mg/L,,FALSE,FALSE,0.02
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,APRIL,,5,o-PO4,0.01,mg/L as PO4,0.00326,FALSE,FALSE,0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,APRIL,,5,t-PO4,0.05,mg/L as PO4,0.01631,FALSE,FALSE,0.05
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,APRIL,,5,SiO2,0.2,mg/L,,FALSE,FALSE,0.2
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,APRIL,,10,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,APRIL,,10,TKN,0.26,mg/L,,FALSE,FALSE,0.26
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,APRIL,,10,o-PO4,0.02,mg/L as PO4,0.00652,FALSE,FALSE,0.02
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,APRIL,,10,t-PO4,0.05,mg/L as PO4,0.01631,FALSE,FALSE,0.05
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,APRIL,,10,SiO2,0.2,mg/L,,FALSE,FALSE,0.2
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,APRIL,,25,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,APRIL,,25,TKN,0.2,mg/L,,FALSE,FALSE,0.20
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,APRIL,,25,o-PO4,0.02,mg/L as PO4,0.00652,FALSE,FALSE,0.02
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,APRIL,,25,t-PO4,0.08,mg/L as PO4,0.02609,FALSE,FALSE,0.08
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,APRIL,,25,SiO2,0.2,mg/L,,FALSE,FALSE,0.2
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,APRIL,,48,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,APRIL,,48,TKN,0.28,mg/L,,FALSE,FALSE,0.28
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,APRIL,,48,o-PO4,0.02,mg/L as PO4,0.00652,FALSE,FALSE,0.02
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,APRIL,,48,t-PO4,0.07,mg/L as PO4,0.02283,FALSE,FALSE,0.07
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,APRIL,,48,SiO2,0.3,mg/L,,FALSE,FALSE,0.3
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,1,NO3,0.01,mg/L,,FALSE,FALSE,0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,1,TKN,0.1,mg/L,,FALSE,FALSE,0.10
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,1,o-PO4,0.2,mg/L as PO4,0.06523,FALSE,FALSE,0.20
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,1,t-PO4,0.29,mg/L as PO4,0.09459,FALSE,FALSE,0.29
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,1,SiO2,2.3,mg/L,,FALSE,FALSE,2.3
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,5,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,5,TKN,0.2,mg/L,,FALSE,FALSE,0.20
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,5,o-PO4,0.01,mg/L as PO4,0.00326,FALSE,FALSE,0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,5,t-PO4,0.08,mg/L as PO4,0.02609,FALSE,FALSE,0.08
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,5,SiO2,2.4,mg/L,,FALSE,FALSE,2.4
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,10,NO3,0.01,mg/L,,FALSE,FALSE,0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,10,TKN,0.21,mg/L,,FALSE,FALSE,0.21
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,10,o-PO4,0.01,mg/L as PO4,0.00326,FALSE,FALSE,0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,10,t-PO4,0.07,mg/L as PO4,0.02283,FALSE,FALSE,0.07
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,10,SiO2,2.6,mg/L,,FALSE,FALSE,2.6
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,15,NO3,0.01,mg/L,,FALSE,FALSE,0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,15,TKN,0.13,mg/L,,FALSE,FALSE,0.13
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,15,o-PO4,3.03,mg/L as PO4,0.98826,FALSE,FALSE,3.03
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,15,t-PO4,0.07,mg/L as PO4,0.02283,FALSE,FALSE,0.07
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,15,SiO2,1.3,mg/L,,FALSE,FALSE,1.3
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,20,NO3,0.01,mg/L,,FALSE,FALSE,0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,20,TKN,0.2,mg/L,,FALSE,FALSE,0.20
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,20,o-PO4,0.04,mg/L as PO4,0.01305,FALSE,FALSE,0.04
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,20,t-PO4,0.07,mg/L as PO4,0.02283,FALSE,FALSE,0.07
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,20,SiO2,0.8,mg/L,,FALSE,FALSE,0.8
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,30,NO3,0.01,mg/L,,FALSE,FALSE,0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,30,TKN,0.07,mg/L,,FALSE,FALSE,0.07
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,30,o-PO4,0.06,mg/L as PO4,0.01957,FALSE,FALSE,0.06
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,30,t-PO4,0.1,mg/L as PO4,0.03262,FALSE,FALSE,0.10
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,30,SiO2,0.6,mg/L,,FALSE,FALSE,0.6
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,44,NO3,0.01,mg/L,,FALSE,FALSE,0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,44,TKN,0.59,mg/L,,FALSE,FALSE,0.59
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,44,o-PO4,0.07,mg/L as PO4,0.02283,FALSE,FALSE,0.07
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,44,t-PO4,0.11,mg/L as PO4,0.03588,FALSE,FALSE,0.11
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,JUNE,,44,SiO2,0.6,mg/L,,FALSE,FALSE,0.6
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,AUGUST,,1,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,AUGUST,,1,TKN,0.13,mg/L,,FALSE,FALSE,0.13
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,AUGUST,,1,o-PO4,0.25,mg/L as PO4,0.08154,FALSE,FALSE,0.25
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,AUGUST,,1,t-PO4,,mg/L as PO4,,FALSE,TRUE,ND
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,AUGUST,,1,SiO2,2.7,mg/L,,FALSE,FALSE,2.7
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,AUGUST,,5,NO3,0.01,mg/L,,FALSE,FALSE,0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,AUGUST,,5,TKN,0.33,mg/L,,FALSE,FALSE,0.33
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,AUGUST,,5,o-PO4,0.01,mg/L as PO4,0.00326,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,AUGUST,,5,t-PO4,,mg/L as PO4,,FALSE,TRUE,ND
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,AUGUST,,5,SiO2,2.7,mg/L,,FALSE,FALSE,2.7
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,AUGUST,,15,NO3,0.05,mg/L,,FALSE,FALSE,0.05
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,AUGUST,,15,TKN,0.11,mg/L,,FALSE,FALSE,0.11
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,AUGUST,,15,o-PO4,0.03,mg/L as PO4,0.00978,FALSE,FALSE,0.03
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,AUGUST,,15,t-PO4,,mg/L as PO4,,FALSE,TRUE,ND
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,AUGUST,,15,SiO2,2.0,mg/L,,FALSE,FALSE,2.0
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,AUGUST,,30,NO3,0.12,mg/L,,FALSE,FALSE,0.12
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,AUGUST,,30,TKN,0.38,mg/L,,FALSE,FALSE,0.38
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,AUGUST,,30,o-PO4,0.15,mg/L as PO4,0.04892,FALSE,FALSE,0.15
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,AUGUST,,30,t-PO4,,mg/L as PO4,,FALSE,TRUE,ND
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,AUGUST,,30,SiO2,1.4,mg/L,,FALSE,FALSE,1.4
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,AUGUST,,48,NO3,0.06,mg/L,,FALSE,FALSE,0.06
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,AUGUST,,48,TKN,0.11,mg/L,,FALSE,FALSE,0.11
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,AUGUST,,48,o-PO4,0.05,mg/L as PO4,0.01631,FALSE,FALSE,0.05
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,AUGUST,,48,t-PO4,,mg/L as PO4,,FALSE,TRUE,ND
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,AUGUST,,48,SiO2,1.8,mg/L,,FALSE,FALSE,1.8
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,OCTOBER,,1,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,OCTOBER,,1,TKN,0.46,mg/L,,FALSE,FALSE,0.46
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,OCTOBER,,1,o-PO4,0.005,mg/L as PO4,0.00163,TRUE,FALSE,<0.005
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,OCTOBER,,1,t-PO4,0.06,mg/L as PO4,0.01957,FALSE,FALSE,0.06
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,OCTOBER,,1,SiO2,2.8,mg/L,,FALSE,FALSE,2.8
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,OCTOBER,,10,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,OCTOBER,,10,TKN,0.2,mg/L,,FALSE,FALSE,0.20
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,OCTOBER,,10,o-PO4,0.005,mg/L as PO4,0.00163,TRUE,FALSE,<0.005
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,OCTOBER,,10,t-PO4,0.04,mg/L as PO4,0.01305,FALSE,FALSE,0.04
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,OCTOBER,,10,SiO2,2.8,mg/L,,FALSE,FALSE,2.8
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,OCTOBER,,20,NO3,0.07,mg/L,,FALSE,FALSE,0.07
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,OCTOBER,,20,TKN,1.31,mg/L,,FALSE,FALSE,1.31
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,OCTOBER,,20,o-PO4,0.09,mg/L as PO4,0.02935,FALSE,FALSE,0.09
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,OCTOBER,,20,t-PO4,0.1,mg/L as PO4,0.03262,FALSE,FALSE,0.10
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,OCTOBER,,20,SiO2,2.1,mg/L,,FALSE,FALSE,2.1
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,OCTOBER,,30,NO3,0.14,mg/L,,FALSE,FALSE,0.14
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,OCTOBER,,30,TKN,0.07,mg/L,,FALSE,FALSE,0.07
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,OCTOBER,,30,o-PO4,0.16,mg/L as PO4,0.05219,FALSE,FALSE,0.16
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,OCTOBER,,30,t-PO4,0.17,mg/L as PO4,0.05545,FALSE,FALSE,0.17
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,OCTOBER,,30,SiO2,2.1,mg/L,,FALSE,FALSE,2.1
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,OCTOBER,,44,NO3,0.13,mg/L,,FALSE,FALSE,0.13
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,OCTOBER,,44,TKN,0.1,mg/L,,FALSE,FALSE,0.10
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,OCTOBER,,44,o-PO4,0.21,mg/L as PO4,0.06849,FALSE,FALSE,0.21
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,OCTOBER,,44,t-PO4,0.24,mg/L as PO4,0.07828,FALSE,FALSE,0.24
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,4,OCTOBER,,44,SiO2,2.3,mg/L,,FALSE,FALSE,2.3
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,6,APRIL,,1,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,6,APRIL,,1,TKN,0.28,mg/L,,FALSE,FALSE,0.28
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,6,APRIL,,1,o-PO4,0.02,mg/L as PO4,0.00652,FALSE,FALSE,0.02
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,6,APRIL,,1,t-PO4,0.05,mg/L as PO4,0.01631,FALSE,FALSE,0.05
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,6,APRIL,,1,SiO2,0.2,mg/L,,FALSE,FALSE,0.2
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,6,APRIL,,5,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,6,APRIL,,5,TKN,0.28,mg/L,,FALSE,FALSE,0.28
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,6,APRIL,,5,o-PO4,0.02,mg/L as PO4,0.00652,FALSE,FALSE,0.02
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,6,APRIL,,5,t-PO4,0.07,mg/L as PO4,0.02283,FALSE,FALSE,0.07
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,6,APRIL,,5,SiO2,0.2,mg/L,,FALSE,FALSE,0.2
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,6,APRIL,,10,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,6,APRIL,,10,TKN,0.18,mg/L,,FALSE,FALSE,0.18
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,6,APRIL,,10,o-PO4,0.02,mg/L as PO4,0.00652,FALSE,FALSE,0.02
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,6,APRIL,,10,t-PO4,0.05,mg/L as PO4,0.01631,FALSE,FALSE,0.05
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,6,APRIL,,10,SiO2,0.2,mg/L,,FALSE,FALSE,0.2
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,6,APRIL,,25,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,6,APRIL,,25,TKN,0.21,mg/L,,FALSE,FALSE,0.21
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,6,APRIL,,25,o-PO4,0.02,mg/L as PO4,0.00652,FALSE,FALSE,0.02
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,6,APRIL,,25,t-PO4,0.07,mg/L as PO4,0.02283,FALSE,FALSE,0.07
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,6,APRIL,,25,SiO2,0.2,mg/L,,FALSE,FALSE,0.2
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,6,APRIL,,37,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,6,APRIL,,37,TKN,0.28,mg/L,,FALSE,FALSE,0.28
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,6,APRIL,,37,o-PO4,0.02,mg/L as PO4,0.00652,FALSE,FALSE,0.02
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,6,APRIL,,37,t-PO4,0.09,mg/L as PO4,0.02935,FALSE,FALSE,0.09
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,6,APRIL,,37,SiO2,0.2,mg/L,,FALSE,FALSE,0.2
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,6,JUNE,,1,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Skaha Lake,6,JUNE,,1,TKN,0.01,mg/L,,TRUE,FALSE,<0.01
