source,appendix,lake,station,season,sample_date_1971,depth_m,characteristic,value_as_printed,unit_as_printed,value_as_P,below_detection,not_determined,raw_text
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,10,SiO2,3.9,mg/L,,FALSE,FALSE,3.9
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,15,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,15,TKN,0.8,mg/L,,FALSE,FALSE,0.80
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,15,o-PO4,0.19,mg/L as PO4,0.06197,FALSE,FALSE,0.19
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,15,t-PO4,0.38,mg/L as PO4,0.12394,FALSE,FALSE,0.38
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,15,SiO2,4.2,mg/L,,FALSE,FALSE,4.2
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,20,NO3,0.01,mg/L,,FALSE,FALSE,0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,20,TKN,2.03,mg/L,,FALSE,FALSE,2.03
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,20,o-PO4,0.14,mg/L as PO4,0.04566,FALSE,FALSE,0.14
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,20,t-PO4,0.29,mg/L as PO4,0.09459,FALSE,FALSE,0.29
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,20,SiO2,4.3,mg/L,,FALSE,FALSE,4.3
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,25,NO3,0.02,mg/L,,FALSE,FALSE,0.02
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,25,TKN,0.77,mg/L,,FALSE,FALSE,0.77
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,25,o-PO4,0.53,mg/L as PO4,0.17286,FALSE,FALSE,0.53
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,25,t-PO4,0.62,mg/L as PO4,0.20222,FALSE,FALSE,0.62
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,25,SiO2,5.0,mg/L,,FALSE,FALSE,5.0
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,1,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,1,TKN,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,1,o-PO4,0.01,mg/L as PO4,0.00326,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,1,t-PO4,,mg/L as PO4,,FALSE,TRUE,ND
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,1,SiO2,4.8,mg/L,,FALSE,FALSE,4.8
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,5,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,5,TKN,0.02,mg/L,,FALSE,FALSE,0.02
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,5,o-PO4,0.01,mg/L as PO4,0.00326,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,5,t-PO4,,mg/L as PO4,,FALSE,TRUE,ND
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,5,SiO2,4.8,mg/L,,FALSE,FALSE,4.8
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,10,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,10,TKN,0.13,mg/L,,FALSE,FALSE,0.13
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,10,o-PO4,0.01,mg/L as PO4,0.00326,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,10,t-PO4,,mg/L as PO4,,FALSE,TRUE,ND
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,10,SiO2,4.9,mg/L,,FALSE,FALSE,4.9
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,15,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,15,TKN,0.38,mg/L,,FALSE,FALSE,0.38
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,15,o-PO4,0.01,mg/L as PO4,0.00326,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,15,t-PO4,0.28,mg/L as PO4,0.09132,FALSE,FALSE,0.28
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,15,SiO2,5.1,mg/L,,FALSE,FALSE,5.1
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,20,NO3,0.22,mg/L,,FALSE,FALSE,0.22
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,20,TKN,1.18,mg/L,,FALSE,FALSE,1.18
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,20,o-PO4,0.04,mg/L as PO4,0.01305,FALSE,FALSE,0.04
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,20,t-PO4,0.12,mg/L as PO4,0.03914,FALSE,FALSE,0.12
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,20,SiO2,5.5,mg/L,,FALSE,FALSE,5.5
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,AUGUST,1971-08-16,28,NO3,0.08,mg/L,,FALSE,FALSE,0.08
