lake,station,season,depth_m,NO3,TKN,o-PO4,t-PO4,SiO2
Osoyoos Lake,3,AUGUST,41,0.20,0.16,0.15,ND,6.0
Osoyoos Lake,3,OCTOBER,1,0.02,0.02,<0.005,0.04,4.3
Osoyoos Lake,3,OCTOBER,15,0.02,<0.01,<0.005,0.04,4.2
Osoyoos Lake,3,OCTOBER,20,0.03,0.33,<0.005,0.04,4.2
Osoyoos Lake,3,OCTOBER,25,0.10,0.43,0.02,0.06,5.8
Osoyoos Lake,3,OCTOBER,37,0.14,<0.01,0.08,0.15,6.5
Osoyoos Lake,5,APRIL,1,<0.01,0.15,0.02,0.06,2.2
Osoyoos Lake,5,APRIL,5,<0.01,0.15,0.01,0.06,2.0
Osoyoos Lake,5,APRIL,12,<0.01,0.33,0.03,0.07,2.1
Osoyoos Lake,5,JUNE,1,<0.01,0.98,<0.01,0.05,3.2
Osoyoos Lake,5,JUNE,5,0.01,0.10,<0.01,0.05,3.4
Osoyoos Lake,5,JUNE,10,<0.01,0.28,<0.01,0.06,3.6
Osoyoos Lake,5,JUNE,13,<0.01,0.21,<0.01,0.06,3.6
Osoyoos Lake,5,AUGUST,1,0.03,0.26,0.12,ND,3.6
Osoyoos Lake,5,AUGUST,7,<0.01,0.38,<0.01,ND,3.6
Osoyoos Lake,5,AUGUST,11,<0.01,0.08,0.05,ND,7.7
Osoyoos Lake,5,OCTOBER,1,0.01,0.38,<0.005,0.05,4.2
Osoyoos Lake,5,OCTOBER,5,0.03,0.18,<0.005,0.05,4.2
Osoyoos Lake,5,OCTOBER,11,0.01,0.15,<0.005,0.05,4.6
Osoyoos Lake,6,APRIL,1,<0.01,<0.01,0.01,0.05,2.8
Osoyoos Lake,6,APRIL,5,<0.01,0.55,0.02,0.05,2.5
Osoyoos Lake,6,APRIL,10,<0.01,0.20,0.01,0.07,2.6
Osoyoos Lake,6,APRIL,20,<0.01,0.36,0.01,0.05,2.6
Osoyoos Lake,6,JUNE,1,<0.01,0.18,<0.01,0.04,2.6
Osoyoos Lake,6,JUNE,5,<0.01,0.31,<0.01,0.06,3.0
Osoyoos Lake,6,JUNE,10,0.01,0.20,<0.01,0.05,3.4
Osoyoos Lake,6,JUNE,23,0.02,0.30,0.02,0.06,6.2
Osoyoos Lake,6,AUGUST,1,0.03,0.34,<0.01,ND,3.8
Osoyoos Lake,6,AUGUST,5,<0.01,0.33,<0.01,ND,3.8
Osoyoos Lake,6,AUGUST,10,0.03,0.16,<0.01,ND,4.6
Osoyoos Lake,6,AUGUST,15,<0.01,0.33,<0.01,ND,8.1
Osoyoos Lake,6,AUGUST,21,<0.01,0.56,0.03,ND,9.8
Osoyoos Lake,6,OCTOBER,1,<0.01,0.31,<0.005,0.05,4.4
Osoyoos Lake,6,OCTOBER,5,0.02,0.02,<0.005,0.05,4.4
Osoyoos Lake,6,OCTOBER,10,0.01,0.20,<0.005,0.06,4.4
Osoyoos Lake,6,OCTOBER,22,<0.01,0.26,<0.005,0.09,5.2
